بِنْت,girl/daughter (informal),Unit_01 Unit_03
بَيْت,house,Unit_01
تِبن,hay,Unit_01
بُنّ,coffee beans,Unit_01
بَيْنَ,between,Unit_01 Unit_06
تِين,figs,Unit_01
أهلاً,Hello,Unit_01
أهلاً وَ سَهلاً,Hello and welcome,Unit_01
أهلاً بِك/بِكِ,Hello to you,Unit_01
صَباح الخَير,Good morning,Unit_01
صَباح النُّور,Good morning (reply),Unit_01
مَساء الخَير,Good evening/afternoon,Unit_01
مَساء النُّور,Good evening/afternoon (reply),Unit_01
مَعَ السَّلامة,Goodbye,Unit_01
أَنَا,I,Unit_02
أَنْتَ,you (m),Unit_02
أَنْتِ,you (f),Unit_02
وَ,and,Unit_02
أَنا اِسمي ...‏,my name's ...,Unit_02
تَشَرَّفْنا,pleased to meet you,Unit_02
كَيْف الحال؟,how are you?,Unit_02
الحَمدُ للّه,"fine, thanks (thank God)",Unit_02
أُمّ,mother,Unit_03
أَب,father,Unit_03
اِبْن,son,Unit_03
اِبْنة,daughter (formal),Unit_03
أَخ,brother,Unit_03
أُخت,sister,Unit_03
زَوْج,husband,Unit_03
زَوْجَة,wife,Unit_03
هُوَ,he/it (m),Unit_03
هِيَ,she/it (f),Unit_03
هَذا,this (m),Unit_03
هَذِهِ,this (f),Unit_03
زُجاجَة,bottle,Unit_03
جَريدَة,newspaper,Unit_03
خَيْمَة,tent,Unit_03
نَهْر,river,Unit_03 Unit_06
حِمار,donkey,Unit_03
دَجاجَة,hen/chicken,Unit_03
مَدينَة,town/city,Unit_03 Unit_07
مَن,who?,Unit_03
مَعَ,with,Unit_03 Unit_13
أَنا أَسْكُن في,I live in,Unit_03
نَحْنُ,we,Unit_04
هُمْ,they (m),Unit_04
هُنَّ,they (f),Unit_04
مُدَرِّس,teacher,Unit_04
مُحَاسِب,accountant,Unit_04
خَبَّاز,baker,Unit_04
مُمَرِّضَة,nurse,Unit_04
مُهَنْدِس,engineer,Unit_04
نَجَّار,carpenter,Unit_04
مُصَوِّر,photographer,Unit_04
طالِب,student,Unit_04
تِلْميذ,pupil,Unit_04
تَنِس,tennis,Unit_04
باص,bus,Unit_04
سينِما,cinema,Unit_04
بيتزا,pizza,Unit_04
شورت,shorts,Unit_04
بورجَر,burger,Unit_04
ما عَمَلك؟,What's your job?,Unit_04
أَيْنَ عَمَلك؟,Where's your job?,Unit_04
أَنا أَعْمَل في ...‏,I work in ...,Unit_04
مَكْتَب,office/desk,Unit_04 Unit_12
مُسْتَشْفَى,hospital,Unit_04 Unit_07
مَطْعَم,restaurant,Unit_04 Unit_12
مَصْنَع,factory,Unit_04 Unit_07
أَنا أَدْرُس في ...‏,I study in ...,Unit_04
جامِعة ...‏,the University of ...,Unit_04
مَدْرَسَة في ...‏,a school in ...,Unit_04
كَذلِك,as well,Unit_04
ما شاءَ الله!‏,"Wonderful! (As God has willed)",Unit_04
قَلَم,pen,Unit_05
مِفْتاح,key,Unit_05
كِتاب,book,Unit_05
قَميص,shirt,Unit_05
كَلْب,dog,Unit_05
دَرَّاجة,bicycle,Unit_05
سَيَّارة,car,Unit_05
خاتِم,ring,Unit_05
حَقيبة,bag,Unit_05
وَلَد,boy,Unit_05
خَفيف,light (weight),Unit_05
قَبيح,ugly,Unit_05
جَديد,new,Unit_05
مَكْسور,broken,Unit_05
أَسْوَد,black (m),Unit_05 Unit_11
ثَقيل,heavy,Unit_05
جَميل,beautiful,Unit_05
قَديم,old,Unit_05
سَليم,whole/unbroken,Unit_05
أَبْيَض,white (m),Unit_05 Unit_11
‏...ـي,my,Unit_05
‏...ـكَ,your (m),Unit_05
‏...ـكِ,your (f),Unit_05
‏...ـهُ,his,Unit_05
‏...ـها,her,Unit_05
ما اِسمك؟,what's your name?,Unit_05
مُمكِن ...؟,may I have ...?,Unit_05
أُريد ...‏,I'd like ...,Unit_05
كُسْكُس,couscous,Unit_05
دَجاج,chicken,Unit_05 Unit_12
مِن فَضْلك,please,Unit_05
شُكْراً,thank you,Unit_05
تَفَضَّل/تَفَضَّلي,here you are,Unit_05
في,in,Unit_06
عَلَى,on,Unit_06
فَوْقَ,above,Unit_06
تَحْتَ,below,Unit_06
بِجانِب,beside,Unit_06
هَلْ...؟,question marker,Unit_06
نَعَم,yes,Unit_06
لا,no,Unit_06
أَيْنَ...؟,where?,Unit_06
مُدَوَّنَة,blog/journal,Unit_06
صورَة,picture/photo,Unit_06
مائِدَة,table,Unit_06
كُرْسيّ,chair,Unit_06
سَرير,bed,Unit_06
باب,door,Unit_06
تِليفِزْيون,television,Unit_06
شُبَّاك,window,Unit_06
خَزانَة,cupboard,Unit_06
مَرْكَب,boat,Unit_06
قَمْرَة,cabin,Unit_06
بَنْك,bank,Unit_07
مَدْرَسة,school,Unit_07
شَجَر,trees,Unit_07
هُناكَ,there is/are,Unit_07
لَيْسَ هُناكَ,there isn't/aren't,Unit_07
شارِع,street,Unit_07
غُرْفة,room,Unit_07
شَقّة,apartment,Unit_07
شُرْفة,balcony,Unit_07
نَخْل,palm trees,Unit_07
يَمين,right,Unit_07
يَسار,left,Unit_07
وَسَط,centre,Unit_07
أَمام,in front of,Unit_07
وَلكِن,but,Unit_07
كَبير,big,Unit_07
صَغير,small,Unit_07
طَويل,long/tall,Unit_07
قَصير,short,Unit_07
ضَعيف,weak,Unit_07
قَويّ,strong,Unit_07
قَريب (مِن)‏,near (to),Unit_07
عَلَى طول,straight on,Unit_07
خُذ/خُذي ...‏,Take ...,Unit_07
أَوَّل شارِع,the first street,Unit_07
ثاني شارِع,the second street,Unit_07
الشَّرْق ألاَوْسَط,The Middle East,Unit_09
ليبْيا,Libya,Unit_09
ليبيّ,Libyan,Unit_09
مِصْر,Egypt,Unit_09
مِصْريّ,Egyptian,Unit_09
السُّودان,Sudan,Unit_09
سُودَانّي,Sudanese,Unit_09
لُبْنان,Lebanon,Unit_09
لُبْنانّي,Lebanese,Unit_09
سورِيا,Syria,Unit_09
سوريّ,Syrian,Unit_09
العِرَق,Iraq,Unit_09
عِراقيّ,Iraqi,Unit_09
ألاُرْدُنّ,Jordan,Unit_09
أُرْدُنّي,Jordanian,Unit_09
السَّعوديّةّ,Saudi (Arabia),Unit_09
سَعوديّ,Saudi,Unit_09
عُمان,Oman,Unit_09
عُمانّي,Omani,Unit_09
اليَمَن,Yemen,Unit_09
يَمَنيّ,Yemeni,Unit_09
أمْريكا,America,Unit_09
أمْريكيّ,American,Unit_09
الصِّين,China,Unit_09
صينيّ,Chinese,Unit_09
روسْيا,Russia,Unit_09
روسيّ,Russian,Unit_09
اليابان,Japan,Unit_09
يابانّي,Japanese,Unit_09
اِنجلْتَرا,England,Unit_09
اِنْجِليزيّ,English,Unit_09
فَرَنْسا,France,Unit_09
فَرَنْسيّ,French,Unit_09
أَلْمانيا,Germany,Unit_09
أَلْمانّي,German,Unit_09
أَسْبانيا,Spain,Unit_09
أَسْبانّي,Spanish,Unit_09
إيطالْيا,Italy,Unit_09
إيطاليّ,Italian,Unit_09
عاصِمة,capital (city),Unit_09
دَوْلَة,"country, nation/state",Unit_09 Unit_14
جِنْسيّة,nationality,Unit_09
مِهْنة,profession,Unit_09
طَبيب,doctor,Unit_09
أَنْتُمْ,you (plural),Unit_09
شَمال,north,Unit_09
جَنوب,south,Unit_09
غَرْب,west,Unit_09
شَرْق,east,Unit_09
مِنْ,from,Unit_09
صِفْر,zero,Unit_10 Unit_14
واحِد,one,Unit_10
اِثْنان,two,Unit_10
ثَلاثَة,three,Unit_10
أرْبَعَة,four,Unit_10
خَمْسَة,five,Unit_10
سِتَّة,six,Unit_10
سَبْعَة,seven,Unit_10
ثَمانِيَة,eight,Unit_10
تِسْعَة,nine,Unit_10
عَشَرَة,ten,Unit_10
كَمْ؟,how many?,Unit_10
تِليفون,telephone,Unit_10
رَقْم تِليفون,telephone number,Unit_10
عُنْوان,address,Unit_10
بِكَم؟,how much?,Unit_10
جُنَيْه,Pound,Unit_10
رِيال,Riyal,Unit_10
دينار,Dinar,Unit_10
ليرة,Lira,Unit_10
دِرْهَم,Dirham,Unit_10
كيلو,kilo,Unit_10
طَماطِم,tomatoes,Unit_10
بَطاطِس,potatoes,Unit_10
مَنْجَة,mangoes,Unit_10
تُفَّاح,apples,Unit_10
بُرْتُقَال,oranges,Unit_10
مَوْز,bananas,Unit_10
سوق,market,Unit_10 Unit_11
صَنْدَل,sandals,Unit_10
طَبْلة,drum,Unit_10
قِلادة,necklace,Unit_10
سَلّة,basket,Unit_10
تي-شيرت,T-shirt,Unit_10
طَبَق,plate,Unit_10 Unit_11
ذَهَب,gold,Unit_10
فِضّة,silver,Unit_10
نُحاس,copper,Unit_10
خَشَب,wood,Unit_10
قُطْن,cotton,Unit_10
جِلْد,leather,Unit_10
زُجاج,glass,Unit_10
حَرير,silk,Unit_10
كُمْبيوتر,computer,Unit_10
كِبْريت,matches,Unit_10
بالونات,balloons,Unit_10
صَاحِب,friend/owner,Unit_11
أصْحِاب,friends/owners,Unit_11
أسْواق,markets,Unit_11
سِعْر,price,Unit_11
أَسْعار,prices,Unit_11
فيلم,film,Unit_11
أَفْلام,films,Unit_11
وَقْت,time,Unit_11
أَوْقات,times,Unit_11
عام,year,Unit_11
أَعْوام,years,Unit_11
عَلَم,flag,Unit_11
أَعْلام,flags,Unit_11
شَكل,"shape, likeness",Unit_11
أَشْكال,"shapes, likenesses",Unit_11
سَيْف,sword,Unit_11
سُيوف,swords,Unit_11
قَلْب,heart,Unit_11
قُلوب,hearts,Unit_11
مَلِك,king,Unit_11
مُلوك,kings,Unit_11
شَيْخ,sheikh,Unit_11
شُيوخ,sheikhs,Unit_11
شَمعة,candle,Unit_11
شُموع,candles,Unit_11
حَفْلة,party,Unit_11
حَفْلات,parties,Unit_11
كوب,"glass, tumbler",Unit_11
أَكْواب,"glasses, tumblers",Unit_11
أَطْباق,plates,Unit_11
كيس,"bag (plastic, etc.), sack",Unit_11
أَكْياس,"bags, (plastic, etc.), sacks",Unit_11
قُبَّعَة,hat,Unit_11
قُبَّعَات,hats,Unit_11
سِرْوال,trousers (singular),Unit_11
سَراويل,trousers (plural),Unit_11
حِذاء,shoe,Unit_11
أَحْذِية,shoes,Unit_11
كُولا,cola,Unit_11 Unit_13
بَلاَسْتيك,plastic,Unit_11
وَرَق,paper,Unit_11
مَوْقِع,[web]site,Unit_11
رائِع,great,Unit_11
أَفْضَل,better/best,Unit_11 Unit_17
أَيّ,which?/any,Unit_11
كُلّ,all/every,Unit_11 Unit_16
حَتَّى,until,Unit_11 Unit_18
هَؤلاءِ,these (for people only),Unit_11
حاضِر,certainly,Unit_11
أُفَضِّل,I prefer,Unit_11
لَوْن,colour,Unit_11
أَلْوان,colours,Unit_11
بَيْضَاء,white (f),Unit_11
سَوْدَاء,black (f),Unit_11
أَخْضَر,green (m),Unit_11
خَضْرَاء,green (f),Unit_11
أَحْمَر,red (m),Unit_11
حَمْرَاء,red (f),Unit_11
أَزْرَق,blue (m),Unit_11
زَرْقَاء,blue (f),Unit_11
أَصْفَر,yellow (m),Unit_11
صَفْراَء,yellow (f),Unit_11
بَقَّال,grocer,Unit_12
طَعام,food,Unit_12
جُبْنَة,cheese,Unit_12
حَليب,milk,Unit_12
