"سَاعَة‏","hour/watch/clock/o'clock"
"سَاعَات‏","hours/watches/clocks/o'clock (plural)"
"كَم الساعة؟","what's the time?"
"مَتى؟","when?"
"دَقيقة‏","minute"
"دَقائِق","minutes"
"نِصْف","half"
"ثُلْث","third"
"رُبْع","quarter"
"كُلّ","every/all"
"كُلّ يَوم","every day"
"عادةً","usually"
"إفْطار","breakfast"
"غَداء","lunch"
"عَشاء","dinner/supper"
"أُوتوبيس","bus"
"أُوتوبيسات","buses"
"قِطار‏","train"
"قِطارات","trains"
"فَعَل/يَفْعَل","to do/to make"
"ذَهَب/يَذْهَب","to go"
"دَرَس/يَدْرُس","to study"
"غَسَل/يَغْسِل","to wash"
"كَتَب/يَكْتُب","to write"
"خَرَج/يَخْرُج","to go out/to leave"
"رَجَع/يَرْجِع","to return"
"لَبِسَ/يَلبَس","to wear/to put on"
"شَرِب/يَشْرَب","to drink"
"أَكَل/يَأْكُل","to eat"
"طَبَخ/يَطْبُخ","to cook"
"صَحا/يَصْحو","to wake up"
"نام/يَنام","to sleep"
"لَعِب/يَلْعَب","to play"
"وَجْه","face"
"وجُوه","faces"
"دَرْس","lesson/class"
"دُرُوس","lessons/classes"
"غُرفة الجُلوس","sitting room"
"النادي","the club"
"كُرة الريشة","badminton ('feather ball')"
"خارِج","outside (of)"
